|                                                                          |   ncount |           mae |          rmse |               rsq |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |   0.144185    |   0.144185    |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Training', 'Force')    |      219 |   0.619379    |   0.897101    |       0.955231    |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |   0.143552    |   0.143552    |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Testing', 'Force')     |      219 |   0.643559    |   0.97035     |       0.950409    |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  14.6502      |  14.6502      |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Training', 'Force')  |      327 |   0.832664    |   1.58767     |       0.827801    |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  14.6071      |  14.6071      |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Testing', 'Force')   |      327 |   0.954972    |   1.66391     |       0.871303    |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |   0.146502    |   0.146502    |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Training', 'Force')    |      327 |   0.832664    |   1.58767     |       0.827801    |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |   0.146071    |   0.146071    |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Testing', 'Force')     |      327 |   0.954972    |   1.66391     |       0.871303    |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Training', 'Energy') |        2 |  21.0387      |  21.2863      |     -42.0526      |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Training', 'Force')  |     1158 |   1.69988     |   2.53119     |       0.738672    |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  59.2822      |  59.2822      |    -inf           |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Testing', 'Force')   |      579 |  11.7626      |  18.3814      |       0.0526558   |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Training', 'Energy')   |        2 |   0.210387    |   0.212863    |     -42.0526      |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Training', 'Force')    |     1158 |   1.69988     |   2.53119     |       0.738672    |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |   0.592822    |   0.592822    |    -inf           |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Testing', 'Force')     |      579 |  11.7626      |  18.3814      |       0.0526558   |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  15.6709      |  15.6709      |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Training', 'Force')  |      435 |   0.428475    |   0.704021    |       0.95004     |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  16.0123      |  16.0123      |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Testing', 'Force')   |      435 |   0.450534    |   0.773175    |       0.935639    |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |   0.156709    |   0.156709    |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Training', 'Force')    |      435 |   0.428475    |   0.704021    |       0.95004     |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |   0.160123    |   0.160123    |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Testing', 'Force')     |      435 |   0.450534    |   0.773175    |       0.935639    |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Training', 'Energy')             |        8 |  17.8713      |  17.8732      |    -185.015       |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Training', 'Force')              |       96 |   1.89127e-05 |   2.6376e-05  |       0.826586    |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Testing', 'Energy')              |        4 |  17.8735      |  17.8756      |    -166.467       |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Testing', 'Force')               |       48 |   1.96241e-05 |   2.9506e-05  |       0.797223    |
| ('WN_Strain_NiAs_shift', 'weighted', 'Training', 'Energy')               |        8 |   0.178713    |   0.178732    |    -185.015       |
| ('WN_Strain_NiAs_shift', 'weighted', 'Training', 'Force')                |       96 |   1.89127e-05 |   2.6376e-05  |       0.826586    |
| ('WN_Strain_NiAs_shift', 'weighted', 'Testing', 'Energy')                |        4 |   0.178735    |   0.178756    |    -166.467       |
| ('WN_Strain_NiAs_shift', 'weighted', 'Testing', 'Force')                 |       48 |   1.96241e-05 |   2.9506e-05  |       0.797223    |
| ('WN_Strain_WC_shift', 'Unweighted', 'Training', 'Energy')               |        8 |  18.0622      |  18.0631      |    -227.145       |
| ('WN_Strain_WC_shift', 'Unweighted', 'Training', 'Force')                |       48 |   1.79647e-05 |   2.47961e-05 |       0.83413     |
| ('WN_Strain_WC_shift', 'Unweighted', 'Testing', 'Energy')                |        4 |  18.0272      |  18.0279      |    -286.55        |
| ('WN_Strain_WC_shift', 'Unweighted', 'Testing', 'Force')                 |       24 |   2.67235e-05 |   3.4184e-05  |       0.786187    |
| ('WN_Strain_WC_shift', 'weighted', 'Training', 'Energy')                 |        8 |   0.180622    |   0.180631    |    -227.145       |
| ('WN_Strain_WC_shift', 'weighted', 'Training', 'Force')                  |       48 |   1.79647e-05 |   2.47961e-05 |       0.83413     |
| ('WN_Strain_WC_shift', 'weighted', 'Testing', 'Energy')                  |        4 |   0.180272    |   0.180279    |    -286.55        |
| ('WN_Strain_WC_shift', 'weighted', 'Testing', 'Force')                   |       24 |   2.67235e-05 |   3.4184e-05  |       0.786187    |
| ('dislocation_quadrupole', 'Unweighted', 'Training', 'Energy')           |       10 |  16.5344      |  16.5344      | -567776           |
| ('dislocation_quadrupole', 'Unweighted', 'Training', 'Force')            |     4050 |   0.284244    |   0.392794    |       0.6757      |
| ('dislocation_quadrupole', 'Unweighted', 'Testing', 'Energy')            |        5 |  16.5401      |  16.5401      | -561383           |
| ('dislocation_quadrupole', 'Unweighted', 'Testing', 'Force')             |     2025 |   0.319809    |   0.405958    |       0.511563    |
| ('dislocation_quadrupole', 'weighted', 'Training', 'Energy')             |       10 |   0.165344    |   0.165344    | -567776           |
| ('dislocation_quadrupole', 'weighted', 'Training', 'Force')              |     4050 |   0.284244    |   0.392794    |       0.6757      |
| ('dislocation_quadrupole', 'weighted', 'Testing', 'Energy')              |        5 |   0.165401    |   0.165401    | -561383           |
| ('dislocation_quadrupole', 'weighted', 'Testing', 'Force')               |     2025 |   0.319809    |   0.405958    |       0.511563    |
| ('gamma_surface', 'Unweighted', 'Training', 'Energy')                    |      618 |  16.4754      |  16.4754      |   -7456.55        |
| ('gamma_surface', 'Unweighted', 'Training', 'Force')                     |    22248 |   0.537496    |   0.716518    |       0.898403    |
| ('gamma_surface', 'Unweighted', 'Testing', 'Energy')                     |      309 |  16.4728      |  16.4729      |   -6633.22        |
| ('gamma_surface', 'Unweighted', 'Testing', 'Force')                      |    11124 |   0.531028    |   0.700527    |       0.896999    |
| ('gamma_surface', 'weighted', 'Training', 'Energy')                      |      618 |   0.164754    |   0.164754    |   -7456.55        |
| ('gamma_surface', 'weighted', 'Training', 'Force')                       |    22248 |   0.537496    |   0.716518    |       0.898403    |
| ('gamma_surface', 'weighted', 'Testing', 'Energy')                       |      309 |   0.164728    |   0.164729    |   -6633.22        |
| ('gamma_surface', 'weighted', 'Testing', 'Force')                        |    11124 |   0.531028    |   0.700527    |       0.896999    |
| ('md_bulk', 'Unweighted', 'Training', 'Energy')                          |        6 |  16.5677      |  16.5677      |  -17913.5         |
| ('md_bulk', 'Unweighted', 'Training', 'Force')                           |     2304 |   0.214556    |   0.277307    |       0.432302    |
| ('md_bulk', 'Unweighted', 'Testing', 'Energy')                           |        3 |  16.5446      |  16.5446      |  -40463.3         |
| ('md_bulk', 'Unweighted', 'Testing', 'Force')                            |     1152 |   0.282419    |   0.386077    |       0.545765    |
| ('md_bulk', 'weighted', 'Training', 'Energy')                            |        6 |   0.165677    |   0.165677    |  -17913.5         |
| ('md_bulk', 'weighted', 'Training', 'Force')                             |     2304 |   0.214556    |   0.277307    |       0.432302    |
| ('md_bulk', 'weighted', 'Testing', 'Energy')                             |        3 |   0.165446    |   0.165446    |  -40463.3         |
| ('md_bulk', 'weighted', 'Testing', 'Force')                              |     1152 |   0.282419    |   0.386077    |       0.545765    |
| ('slice_sample', 'Unweighted', 'Training', 'Energy')                     |      200 |  16.5419      |  16.5419      |    -839.232       |
| ('slice_sample', 'Unweighted', 'Training', 'Force')                      |      600 |   8.07404e-14 |   1.22365e-13 |  -32935.4         |
| ('slice_sample', 'Unweighted', 'Testing', 'Energy')                      |      100 |  16.5481      |  16.5481      |    -895.722       |
| ('slice_sample', 'Unweighted', 'Testing', 'Force')                       |      300 |   8.135e-14   |   1.24688e-13 |  -37661.2         |
| ('slice_sample', 'weighted', 'Training', 'Energy')                       |      200 |   0.165419    |   0.165419    |    -839.232       |
| ('slice_sample', 'weighted', 'Training', 'Force')                        |      600 |   8.07404e-14 |   1.22365e-13 |  -32935.4         |
| ('slice_sample', 'weighted', 'Testing', 'Energy')                        |      100 |   0.165481    |   0.165481    |    -895.722       |
| ('slice_sample', 'weighted', 'Testing', 'Force')                         |      300 |   8.135e-14   |   1.24688e-13 |  -37661.2         |
| ('vacancy', 'Unweighted', 'Training', 'Energy')                          |       42 |  16.5177      |  16.5177      |  -41105.7         |
| ('vacancy', 'Unweighted', 'Training', 'Force')                           |     7788 |   0.419656    |   0.563716    |       0.526822    |
| ('vacancy', 'Unweighted', 'Testing', 'Energy')                           |       21 |  16.5167      |  16.5167      |  -86996.4         |
| ('vacancy', 'Unweighted', 'Testing', 'Force')                            |     3339 |   0.453341    |   0.59119     |       0.502353    |
| ('vacancy', 'weighted', 'Training', 'Energy')                            |       42 |   0.165177    |   0.165177    |  -41105.7         |
| ('vacancy', 'weighted', 'Training', 'Force')                             |     7788 |   0.419656    |   0.563716    |       0.526822    |
| ('vacancy', 'weighted', 'Testing', 'Energy')                             |       21 |   0.165167    |   0.165167    |  -86996.4         |
| ('vacancy', 'weighted', 'Testing', 'Force')                              |     3339 |   0.453341    |   0.59119     |       0.502353    |
