|                                                                          |   ncount |           mae |          rmse |               rsq |
| ('EOS_Data', 'Unweighted', 'Testing', 'Force')                           |      144 |   2.1384e-05  |   2.42553e-05 |       0.888718    |
| ('EOS_Data', 'weighted', 'Training', 'Energy')                           |       13 |   0.165474    |   0.165477    |    -308.094       |
| ('EOS_Data', 'weighted', 'Training', 'Force')                            |      420 |   3.57483e-05 |   4.29482e-05 |       0.791507    |
| ('EOS_Data', 'weighted', 'Testing', 'Energy')                            |        6 |   0.16527     |   0.165272    |    -283.118       |
| ('EOS_Data', 'weighted', 'Testing', 'Force')                             |      144 |   2.1384e-05  |   2.42553e-05 |       0.888718    |
| ('N2_Cross', 'Unweighted', 'Training', 'Energy')                         |       20 |   0.714594    |   0.716778    |     -51.5138      |
| ('N2_Cross', 'Unweighted', 'Training', 'Force')                          |      240 |   0.488573    |   1.51066     |       0.996174    |
| ('N2_Cross', 'Unweighted', 'Testing', 'Energy')                          |       10 |   0.721881    |   0.724026    |     -20.9149      |
| ('N2_Cross', 'Unweighted', 'Testing', 'Force')                           |      120 |   0.742311    |   1.96303     |       0.993491    |
| ('N2_Cross', 'weighted', 'Training', 'Energy')                           |       20 |   0.00714594  |   0.00716778  |     -51.5138      |
| ('N2_Cross', 'weighted', 'Training', 'Force')                            |      240 |   0.488573    |   1.51066     |       0.996174    |
| ('N2_Cross', 'weighted', 'Testing', 'Energy')                            |       10 |   0.00721881  |   0.00724026  |     -20.9149      |
| ('N2_Cross', 'weighted', 'Testing', 'Force')                             |      120 |   0.742311    |   1.96303     |       0.993491    |
| ('N2_Planar', 'Unweighted', 'Training', 'Energy')                        |       20 |   0.760761    |   0.784614    |     -71.7404      |
| ('N2_Planar', 'Unweighted', 'Training', 'Force')                         |      240 |   0.4175      |   1.41818     |       0.996663    |
| ('N2_Planar', 'Unweighted', 'Testing', 'Energy')                         |       10 |   0.876287    |   0.953741    |    -131.968       |
| ('N2_Planar', 'Unweighted', 'Testing', 'Force')                          |      120 |   0.846883    |   2.10386     |       0.991745    |
| ('N2_Planar', 'weighted', 'Training', 'Energy')                          |       20 |   0.00760761  |   0.00784614  |     -71.7404      |
| ('N2_Planar', 'weighted', 'Training', 'Force')                           |      240 |   0.4175      |   1.41818     |       0.996663    |
| ('N2_Planar', 'weighted', 'Testing', 'Energy')                           |       10 |   0.00876287  |   0.00953741  |    -131.968       |
| ('N2_Planar', 'weighted', 'Testing', 'Force')                            |      120 |   0.846883    |   2.10386     |       0.991745    |
| ('N_DFT-MD', 'Unweighted', 'Training', 'Energy')                         |       25 |   0.663092    |   0.663094    |  -51072.2         |
| ('N_DFT-MD', 'Unweighted', 'Training', 'Force')                          |     3900 |   0.0740173   |   0.116101    |       0.999977    |
| ('N_DFT-MD', 'Unweighted', 'Testing', 'Energy')                          |       13 |   0.662836    |   0.662837    |  -60791.5         |
| ('N_DFT-MD', 'Unweighted', 'Testing', 'Force')                           |     2028 |   0.0737511   |   0.115343    |       0.999978    |
| ('N_DFT-MD', 'weighted', 'Training', 'Energy')                           |       25 |   0.00663092  |   0.00663094  |  -51072.2         |
| ('N_DFT-MD', 'weighted', 'Training', 'Force')                            |     3900 |   0.0740173   |   0.116101    |       0.999977    |
| ('N_DFT-MD', 'weighted', 'Testing', 'Energy')                            |       13 |   0.00662836  |   0.00662837  |  -60791.5         |
| ('N_DFT-MD', 'weighted', 'Testing', 'Force')                             |     2028 |   0.0737511   |   0.115343    |       0.999978    |
| ('N_Dimer', 'Unweighted', 'Training', 'Energy')                          |        3 |   0.741252    |   0.741528    |       0.237019    |
| ('N_Dimer', 'Unweighted', 'Training', 'Force')                           |       18 |   0.273506    |   0.48267     |       0.999352    |
| ('N_Dimer', 'Unweighted', 'Testing', 'Energy')                           |        2 |   1.22192     |   1.24387     |      -6.60726     |
| ('N_Dimer', 'Unweighted', 'Testing', 'Force')                            |       12 |   4.24451     |   7.71433     |       0.702995    |
| ('N_Dimer', 'weighted', 'Training', 'Energy')                            |        3 |   0.00741252  |   0.00741528  |       0.237019    |
| ('N_Dimer', 'weighted', 'Training', 'Force')                             |       18 |   0.273506    |   0.48267     |       0.999352    |
| ('N_Dimer', 'weighted', 'Testing', 'Energy')                             |        2 |   0.0122192   |   0.0124387   |      -6.60726     |
| ('N_Dimer', 'weighted', 'Testing', 'Force')                              |       12 |   4.24451     |   7.71433     |       0.702995    |
| ('N_Disordered', 'Unweighted', 'Training', 'Energy')                     |       40 |   1.21637     |   1.31831     |       0.872477    |
| ('N_Disordered', 'Unweighted', 'Training', 'Force')                      |     6240 |   0.401683    |   0.722235    |       0.998603    |
| ('N_Disordered', 'Unweighted', 'Testing', 'Energy')                      |       20 |   0.954573    |   1.03298     |       0.930179    |
| ('N_Disordered', 'Unweighted', 'Testing', 'Force')                       |     3120 |   0.376819    |   0.664763    |       0.998931    |
| ('N_Disordered', 'weighted', 'Training', 'Energy')                       |       40 |   0.0121637   |   0.0131831   |       0.872477    |
| ('N_Disordered', 'weighted', 'Training', 'Force')                        |     6240 |   0.401683    |   0.722235    |       0.998603    |
| ('N_Disordered', 'weighted', 'Testing', 'Energy')                        |       20 |   0.00954573  |   0.0103298   |       0.930179    |
| ('N_Disordered', 'weighted', 'Testing', 'Force')                         |     3120 |   0.376819    |   0.664763    |       0.998931    |
| ('N_Trimer', 'Unweighted', 'Training', 'Energy')                         |        3 |   1.92323     |   1.92326     |      -2.16014     |
| ('N_Trimer', 'Unweighted', 'Training', 'Force')                          |       27 |   1.0607      |   1.90235     |       0.990348    |
| ('N_Trimer', 'Unweighted', 'Testing', 'Energy')                          |        1 |   1.90446     |   1.90446     |    -inf           |
| ('N_Trimer', 'Unweighted', 'Testing', 'Force')                           |        9 |   1.37771     |   2.44034     |       0.986072    |
| ('N_Trimer', 'weighted', 'Training', 'Energy')                           |        3 |   0.0192323   |   0.0192326   |      -2.16014     |
| ('N_Trimer', 'weighted', 'Training', 'Force')                            |       27 |   1.0607      |   1.90235     |       0.990348    |
| ('N_Trimer', 'weighted', 'Testing', 'Energy')                            |        1 |   0.0190446   |   0.0190446   |    -inf           |
| ('N_Trimer', 'weighted', 'Testing', 'Force')                             |        9 |   1.37771     |   2.44034     |       0.986072    |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Training', 'Energy')            |       50 |  19.4699      |  19.4702      |    -212.068       |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Training', 'Force')             |     1350 |   0.251896    |   0.523187    |       0.972142    |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Testing', 'Energy')             |       25 |  19.5429      |  19.5448      |    -166.809       |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Testing', 'Force')              |      675 |   0.244079    |   0.526147    |       0.971683    |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Training', 'Energy')              |       50 |   0.194699    |   0.194702    |    -212.068       |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Training', 'Force')               |     1350 |   0.251896    |   0.523187    |       0.972142    |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Testing', 'Energy')               |       25 |   0.195429    |   0.195448    |    -166.809       |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Testing', 'Force')                |      675 |   0.244079    |   0.526147    |       0.971683    |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Training', 'Energy')         |       24 |  14.3032      |  14.3033      |    -194.545       |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Training', 'Force')          |      432 |   0.0219369   |   0.0661293   |       0.997802    |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Testing', 'Energy')          |       12 |  14.3036      |  14.3038      |    -194.447       |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Testing', 'Force')           |      216 |   0.0223167   |   0.0572122   |       0.998293    |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Training', 'Energy')           |       24 |   0.143032    |   0.143033    |    -194.545       |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Training', 'Force')            |      432 |   0.0219369   |   0.0661293   |       0.997802    |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Testing', 'Energy')            |       12 |   0.143036    |   0.143038    |    -194.447       |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Testing', 'Force')             |      216 |   0.0223167   |   0.0572122   |       0.998293    |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Training', 'Energy')           |       26 |  13.9437      |  13.9441      |    -204.493       |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Training', 'Force')            |      234 |   0.0623386   |   0.154995    |       0.977171    |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Testing', 'Energy')            |       13 |  14.0228      |  14.023       |    -264.584       |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Testing', 'Force')             |      117 |   0.0947605   |   0.206656    |       0.941403    |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Training', 'Energy')             |       26 |   0.139437    |   0.139441    |    -204.493       |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Training', 'Force')              |      234 |   0.0623386   |   0.154995    |       0.977171    |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Testing', 'Energy')              |       13 |   0.140228    |   0.14023     |    -264.584       |
| ('WN2_Strain_P-6m2_shift', 'weighted', 'Testing', 'Force')               |      117 |   0.0947605   |   0.206656    |       0.941403    |
| ('WN_Adsorption', 'Unweighted', 'Training', 'Energy')                    |       11 |  16.2604      |  16.2886      |    -307.834       |
| ('WN_Adsorption', 'Unweighted', 'Training', 'Force')                     |     5793 |   0.365751    |   0.727341    |       0.946613    |
| ('WN_Adsorption', 'Unweighted', 'Testing', 'Energy')                     |        5 |  16.1442      |  16.1481      |   -2324.73        |
| ('WN_Adsorption', 'Unweighted', 'Testing', 'Force')                      |     2607 |   0.324857    |   0.566009    |       0.968923    |
| ('WN_Adsorption', 'weighted', 'Training', 'Energy')                      |       11 |   0.162604    |   0.162886    |    -307.834       |
| ('WN_Adsorption', 'weighted', 'Training', 'Force')                       |     5793 |   0.365751    |   0.727341    |       0.946613    |
| ('WN_Adsorption', 'weighted', 'Testing', 'Energy')                       |        5 |   0.161442    |   0.161481    |   -2324.73        |
| ('WN_Adsorption', 'weighted', 'Testing', 'Force')                        |     2607 |   0.324857    |   0.566009    |       0.968923    |
| ('WN_Adsorption_100_shift', 'Unweighted', 'Training', 'Energy')          |        1 |  16.0867      |  16.0867      |    -inf           |
