|                                                                          |   ncount |          mae |          rmse |               rsq |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  1.53828     |   1.53828     |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Training', 'Force')  |      219 |  0.338823    |   0.657942    |       0.0750611   |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  1.31465     |   1.31465     |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'Unweighted', 'Testing', 'Force')   |      219 |  0.310683    |   0.510709    |      -0.910605    |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |  0.0153828   |   0.0153828   |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Training', 'Force')    |      219 |  0.338823    |   0.657942    |       0.0750611   |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |  0.0131465   |   0.0131465   |    -inf           |
| ('WN_NEB_SurfDiff_110_subset_shift', 'weighted', 'Testing', 'Force')     |      219 |  0.310683    |   0.510709    |      -0.910605    |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  0.385226    |   0.385226    |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Training', 'Force')  |      327 |  0.484722    |   0.882093    |      -1.30345     |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  0.505552    |   0.505552    |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'Unweighted', 'Testing', 'Force')   |      327 |  0.698753    |   1.51546     |       0.284409    |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |  0.00385226  |   0.00385226  |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Training', 'Force')    |      327 |  0.484722    |   0.882093    |      -1.30345     |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |  0.00505552  |   0.00505552  |    -inf           |
| ('WN_NEB_SurfDiff_111_subset_shift', 'weighted', 'Testing', 'Force')     |      327 |  0.698753    |   1.51546     |       0.284409    |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Training', 'Energy') |        2 | 22.1028      |  29.0823      |      -1.36979     |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Training', 'Force')  |     1158 |  4.58771     |   9.56606     |       0.0313141   |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  8.3767      |   8.3767      |    -inf           |
| ('WN_NEB_intoBulk_100_subset_shift', 'Unweighted', 'Testing', 'Force')   |      579 |  3.67581     |   5.44359     |       0.00748289  |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Training', 'Energy')   |        2 |  0.221028    |   0.290823    |      -1.36979     |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Training', 'Force')    |     1158 |  4.58771     |   9.56606     |       0.0313141   |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |  0.083767    |   0.083767    |    -inf           |
| ('WN_NEB_intoBulk_100_subset_shift', 'weighted', 'Testing', 'Force')     |      579 |  3.67581     |   5.44359     |       0.00748289  |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Training', 'Energy') |        1 |  0.595063    |   0.595063    |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Training', 'Force')  |      435 |  0.321177    |   0.586365    |       0.821083    |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Testing', 'Energy')  |        1 |  0.650594    |   0.650594    |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'Unweighted', 'Testing', 'Force')   |      435 |  0.351889    |   0.625383    |       0.856988    |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Training', 'Energy')   |        1 |  0.00595063  |   0.00595063  |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Training', 'Force')    |      435 |  0.321177    |   0.586365    |       0.821083    |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Testing', 'Energy')    |        1 |  0.00650594  |   0.00650594  |    -inf           |
| ('WN_NEB_intoBulk_110_subset_shift', 'weighted', 'Testing', 'Force')     |      435 |  0.351889    |   0.625383    |       0.856988    |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Training', 'Energy')             |        8 |  8.63911     |   8.76104     |  -57181.2         |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Training', 'Force')              |       96 |  2.65829e-05 |   3.69572e-05 |  -21138.1         |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Testing', 'Energy')              |        4 |  9.32189     |   9.59315     |  -14642.7         |
| ('WN_Strain_NiAs_shift', 'Unweighted', 'Testing', 'Force')               |       48 |  3.69202e-05 |   5.68254e-05 |  -20857.6         |
| ('WN_Strain_NiAs_shift', 'weighted', 'Training', 'Energy')               |        8 |  0.0863911   |   0.0876104   |  -57181.2         |
| ('WN_Strain_NiAs_shift', 'weighted', 'Training', 'Force')                |       96 |  2.65829e-05 |   3.69572e-05 |  -21138.1         |
| ('WN_Strain_NiAs_shift', 'weighted', 'Testing', 'Energy')                |        4 |  0.0932189   |   0.0959315   |  -14642.7         |
| ('WN_Strain_NiAs_shift', 'weighted', 'Testing', 'Force')                 |       48 |  3.69202e-05 |   5.68254e-05 |  -20857.6         |
| ('WN_Strain_WC_shift', 'Unweighted', 'Training', 'Energy')               |        8 |  9.36002     |   9.5897      |  -12974           |
| ('WN_Strain_WC_shift', 'Unweighted', 'Training', 'Force')                |       48 |  3.91563e-05 |   5.33604e-05 | -665458           |
| ('WN_Strain_WC_shift', 'Unweighted', 'Testing', 'Energy')                |        4 |  8.88555     |   9.18545     |   -7818.65        |
| ('WN_Strain_WC_shift', 'Unweighted', 'Testing', 'Force')                 |       24 |  3.80125e-05 |   5.53035e-05 |      -1.30289e+06 |
| ('WN_Strain_WC_shift', 'weighted', 'Training', 'Energy')                 |        8 |  0.0936002   |   0.095897    |  -12974           |
| ('WN_Strain_WC_shift', 'weighted', 'Training', 'Force')                  |       48 |  3.91563e-05 |   5.33604e-05 | -665458           |
| ('WN_Strain_WC_shift', 'weighted', 'Testing', 'Energy')                  |        4 |  0.0888555   |   0.0918545   |   -7818.65        |
| ('WN_Strain_WC_shift', 'weighted', 'Testing', 'Force')                   |       24 |  3.80125e-05 |   5.53035e-05 |      -1.30289e+06 |
| ('dislocation_quadrupole', 'Unweighted', 'Training', 'Energy')           |       10 |  0.319388    |   0.319637    |     -38.0105      |
| ('dislocation_quadrupole', 'Unweighted', 'Training', 'Force')            |     4050 |  0.167896    |   0.231156    |       0.896027    |
| ('dislocation_quadrupole', 'Unweighted', 'Testing', 'Energy')            |        5 |  0.322566    |   0.322734    |     -36.4072      |
| ('dislocation_quadrupole', 'Unweighted', 'Testing', 'Force')             |     2025 |  0.162266    |   0.240727    |       0.869293    |
| ('dislocation_quadrupole', 'weighted', 'Training', 'Energy')             |       10 |  0.00319388  |   0.00319637  |     -38.0105      |
| ('dislocation_quadrupole', 'weighted', 'Training', 'Force')              |     4050 |  0.167896    |   0.231156    |       0.896027    |
| ('dislocation_quadrupole', 'weighted', 'Testing', 'Energy')              |        5 |  0.00322566  |   0.00322734  |     -36.4072      |
| ('dislocation_quadrupole', 'weighted', 'Testing', 'Force')               |     2025 |  0.162266    |   0.240727    |       0.869293    |
| ('gamma_surface', 'Unweighted', 'Training', 'Energy')                    |      618 |  0.354057    |   0.355705    |      -2.30592     |
| ('gamma_surface', 'Unweighted', 'Training', 'Force')                     |    22248 |  0.261888    |   0.356422    |       0.968514    |
| ('gamma_surface', 'Unweighted', 'Testing', 'Energy')                     |      309 |  0.35289     |   0.354529    |      -2.13134     |
| ('gamma_surface', 'Unweighted', 'Testing', 'Force')                      |    11124 |  0.254401    |   0.353522    |       0.968944    |
| ('gamma_surface', 'weighted', 'Training', 'Energy')                      |      618 |  0.00354057  |   0.00355705  |      -2.30592     |
| ('gamma_surface', 'weighted', 'Training', 'Force')                       |    22248 |  0.261888    |   0.356422    |       0.968514    |
| ('gamma_surface', 'weighted', 'Testing', 'Energy')                       |      309 |  0.0035289   |   0.00354529  |      -2.13134     |
| ('gamma_surface', 'weighted', 'Testing', 'Force')                        |    11124 |  0.254401    |   0.353522    |       0.968944    |
| ('md_bulk', 'Unweighted', 'Training', 'Energy')                          |        6 |  0.289611    |   0.290502    |    -501.139       |
| ('md_bulk', 'Unweighted', 'Training', 'Force')                           |     2304 |  0.093922    |   0.120943    |       0.951502    |
| ('md_bulk', 'Unweighted', 'Testing', 'Energy')                           |        3 |  0.300469    |   0.300472    |    -785.561       |
| ('md_bulk', 'Unweighted', 'Testing', 'Force')                            |     1152 |  0.0987968   |   0.12687     |       0.945407    |
| ('md_bulk', 'weighted', 'Training', 'Energy')                            |        6 |  0.00289611  |   0.00290502  |    -501.139       |
| ('md_bulk', 'weighted', 'Training', 'Force')                             |     2304 |  0.093922    |   0.120943    |       0.951502    |
| ('md_bulk', 'weighted', 'Testing', 'Energy')                             |        3 |  0.00300469  |   0.00300472  |    -785.561       |
| ('md_bulk', 'weighted', 'Testing', 'Force')                              |     1152 |  0.0987968   |   0.12687     |       0.945407    |
| ('slice_sample', 'Unweighted', 'Training', 'Energy')                     |      200 |  0.298212    |   0.315302    |     -23.2663      |
| ('slice_sample', 'Unweighted', 'Training', 'Force')                      |      600 |  1.34435e-14 |   2.11576e-14 |      -1.73275e+40 |
| ('slice_sample', 'Unweighted', 'Testing', 'Energy')                      |      100 |  0.301607    |   0.313314    |     -30.5377      |
| ('slice_sample', 'Unweighted', 'Testing', 'Force')                       |      300 |  1.43177e-14 |   2.23289e-14 |      -1.79401e+40 |
| ('slice_sample', 'weighted', 'Training', 'Energy')                       |      200 |  0.00298212  |   0.00315302  |     -23.2663      |
| ('slice_sample', 'weighted', 'Training', 'Force')                        |      600 |  1.34435e-14 |   2.11576e-14 |      -1.73275e+40 |
| ('slice_sample', 'weighted', 'Testing', 'Energy')                        |      100 |  0.00301607  |   0.00313314  |     -30.5377      |
| ('slice_sample', 'weighted', 'Testing', 'Force')                         |      300 |  1.43177e-14 |   2.23289e-14 |      -1.79401e+40 |
| ('vacancy', 'Unweighted', 'Training', 'Energy')                          |       42 |  0.254777    |   0.255461    |     -62.2162      |
| ('vacancy', 'Unweighted', 'Training', 'Force')                           |     7566 |  0.199938    |   0.251493    |       0.881003    |
| ('vacancy', 'Unweighted', 'Testing', 'Energy')                           |       21 |  0.260122    |   0.260731    |     -48.2302      |
| ('vacancy', 'Unweighted', 'Testing', 'Force')                            |     4005 |  0.19405     |   0.248187    |       0.887092    |
| ('vacancy', 'weighted', 'Training', 'Energy')                            |       42 |  0.00254777  |   0.00255461  |     -62.2162      |
| ('vacancy', 'weighted', 'Training', 'Force')                             |     7566 |  0.199938    |   0.251493    |       0.881003    |
| ('vacancy', 'weighted', 'Testing', 'Energy')                             |       21 |  0.00260122  |   0.00260731  |     -48.2302      |
| ('vacancy', 'weighted', 'Testing', 'Force')                              |     4005 |  0.19405     |   0.248187    |       0.887092    |
