|                                                                          |   ncount |          mae |          rmse |               rsq |
| ('EOS_Data', 'Unweighted', 'Testing', 'Energy')                          |        6 |  0.39268     |   0.433674    |      -2.19385     |
| ('EOS_Data', 'Unweighted', 'Testing', 'Force')                           |      156 |  3.25867e-05 |   3.90655e-05 |      -1.88998e+07 |
| ('EOS_Data', 'weighted', 'Training', 'Energy')                           |       13 |  0.00387086  |   0.00406775  |      -3.07435     |
| ('EOS_Data', 'weighted', 'Training', 'Force')                            |      396 |  3.59201e-05 |   4.81741e-05 |      -1.11482e+07 |
| ('EOS_Data', 'weighted', 'Testing', 'Energy')                            |        6 |  0.0039268   |   0.00433674  |      -2.19385     |
| ('EOS_Data', 'weighted', 'Testing', 'Force')                             |      156 |  3.25867e-05 |   3.90655e-05 |      -1.88998e+07 |
| ('N2_Cross', 'Unweighted', 'Training', 'Energy')                         |       20 |  4.18137     |   4.18405     |     -74.7865      |
| ('N2_Cross', 'Unweighted', 'Training', 'Force')                          |      240 |  0.538854    |   1.40573     |       0.480353    |
| ('N2_Cross', 'Unweighted', 'Testing', 'Energy')                          |       10 |  4.2555      |   4.25553     |  -73899.3         |
| ('N2_Cross', 'Unweighted', 'Testing', 'Force')                           |      120 |  0.380581    |   0.832584    |      -2.60171     |
| ('N2_Cross', 'weighted', 'Training', 'Energy')                           |       20 |  0.0418137   |   0.0418405   |     -74.7865      |
| ('N2_Cross', 'weighted', 'Training', 'Force')                            |      240 |  0.538854    |   1.40573     |       0.480353    |
| ('N2_Cross', 'weighted', 'Testing', 'Energy')                            |       10 |  0.042555    |   0.0425553   |  -73899.3         |
| ('N2_Cross', 'weighted', 'Testing', 'Force')                             |      120 |  0.380581    |   0.832584    |      -2.60171     |
| ('N2_Planar', 'Unweighted', 'Training', 'Energy')                        |       20 |  4.16192     |   4.165       |    -262.566       |
| ('N2_Planar', 'Unweighted', 'Training', 'Force')                         |      240 |  0.345447    |   0.814716    |       0.488463    |
| ('N2_Planar', 'Unweighted', 'Testing', 'Energy')                         |       10 |  4.02618     |   4.04902     |     -17.8353      |
| ('N2_Planar', 'Unweighted', 'Testing', 'Force')                          |      120 |  0.55228     |   1.72623     |       0.868506    |
| ('N2_Planar', 'weighted', 'Training', 'Energy')                          |       20 |  0.0416192   |   0.04165     |    -262.566       |
| ('N2_Planar', 'weighted', 'Training', 'Force')                           |      240 |  0.345447    |   0.814716    |       0.488463    |
| ('N2_Planar', 'weighted', 'Testing', 'Energy')                           |       10 |  0.0402618   |   0.0404902   |     -17.8353      |
| ('N2_Planar', 'weighted', 'Testing', 'Force')                            |      120 |  0.55228     |   1.72623     |       0.868506    |
| ('N_DFT-MD', 'Unweighted', 'Training', 'Energy')                         |       25 |  4.2501      |   4.2501      |      -8.56752e+06 |
| ('N_DFT-MD', 'Unweighted', 'Training', 'Force')                          |     3900 |  0.194449    |   0.33817     |      -5.08397     |
| ('N_DFT-MD', 'Unweighted', 'Testing', 'Energy')                          |       13 |  4.25189     |   4.25189     |      -7.23064e+06 |
| ('N_DFT-MD', 'Unweighted', 'Testing', 'Force')                           |     2028 |  0.207427    |   0.358623    |      -4.72183     |
| ('N_DFT-MD', 'weighted', 'Training', 'Energy')                           |       25 |  0.042501    |   0.042501    |      -8.56752e+06 |
| ('N_DFT-MD', 'weighted', 'Training', 'Force')                            |     3900 |  0.194449    |   0.33817     |      -5.08397     |
| ('N_DFT-MD', 'weighted', 'Testing', 'Energy')                            |       13 |  0.0425189   |   0.0425189   |      -7.23064e+06 |
| ('N_DFT-MD', 'weighted', 'Testing', 'Force')                             |     2028 |  0.207427    |   0.358623    |      -4.72183     |
| ('N_Dimer', 'Unweighted', 'Training', 'Energy')                          |        3 |  4.13249     |   4.13267     |    -152.762       |
| ('N_Dimer', 'Unweighted', 'Training', 'Force')                           |       18 |  0.732342    |   1.65946     |       0.990803    |
| ('N_Dimer', 'Unweighted', 'Testing', 'Energy')                           |        2 |  3.96451     |   3.97316     |      -1.34014     |
| ('N_Dimer', 'Unweighted', 'Testing', 'Force')                            |       12 |  2.05847     |   4.55312     |       0.989691    |
| ('N_Dimer', 'weighted', 'Training', 'Energy')                            |        3 |  0.0413249   |   0.0413267   |    -152.762       |
| ('N_Dimer', 'weighted', 'Training', 'Force')                             |       18 |  0.732342    |   1.65946     |       0.990803    |
| ('N_Dimer', 'weighted', 'Testing', 'Energy')                             |        2 |  0.0396451   |   0.0397316   |      -1.34014     |
| ('N_Dimer', 'weighted', 'Testing', 'Force')                              |       12 |  2.05847     |   4.55312     |       0.989691    |
| ('N_Disordered', 'Unweighted', 'Training', 'Energy')                     |       40 |  3.86856     |   3.89478     |      -3.44912     |
| ('N_Disordered', 'Unweighted', 'Training', 'Force')                      |     6240 |  0.604627    |   1.01195     |       0.922165    |
| ('N_Disordered', 'Unweighted', 'Testing', 'Energy')                      |       20 |  3.59526     |   3.63599     |      -3.08959     |
| ('N_Disordered', 'Unweighted', 'Testing', 'Force')                       |     3120 |  0.688486    |   1.14495     |       0.883758    |
| ('N_Disordered', 'weighted', 'Training', 'Energy')                       |       40 |  0.0386856   |   0.0389478   |      -3.44912     |
| ('N_Disordered', 'weighted', 'Training', 'Force')                        |     6240 |  0.604627    |   1.01195     |       0.922165    |
| ('N_Disordered', 'weighted', 'Testing', 'Energy')                        |       20 |  0.0359526   |   0.0363599   |      -3.08959     |
| ('N_Disordered', 'weighted', 'Testing', 'Force')                         |     3120 |  0.688486    |   1.14495     |       0.883758    |
| ('N_Trimer', 'Unweighted', 'Training', 'Energy')                         |        3 |  2.87075     |   2.87084     |     -72.3814      |
| ('N_Trimer', 'Unweighted', 'Training', 'Force')                          |       27 |  0.943755    |   1.67559     |       0.975747    |
| ('N_Trimer', 'Unweighted', 'Testing', 'Energy')                          |        1 |  2.88806     |   2.88806     |    -inf           |
| ('N_Trimer', 'Unweighted', 'Testing', 'Force')                           |        9 |  0.92566     |   1.35788     |       0.988462    |
| ('N_Trimer', 'weighted', 'Training', 'Energy')                           |        3 |  0.0287075   |   0.0287084   |     -72.3814      |
| ('N_Trimer', 'weighted', 'Training', 'Force')                            |       27 |  0.943755    |   1.67559     |       0.975747    |
| ('N_Trimer', 'weighted', 'Testing', 'Energy')                            |        1 |  0.0288806   |   0.0288806   |    -inf           |
| ('N_Trimer', 'weighted', 'Testing', 'Force')                             |        9 |  0.92566     |   1.35788     |       0.988462    |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Training', 'Energy')            |       50 |  4.86905     |   5.08839     |    -642.23        |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Training', 'Force')             |     1350 |  0.234553    |   0.553448    |      -5.39975     |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Testing', 'Energy')             |       25 |  4.74143     |   4.95226     |    -317.286       |
| ('W2N_Strain_MoS2_shift', 'Unweighted', 'Testing', 'Force')              |      675 |  0.231517    |   0.551009    |      -3.22584     |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Training', 'Energy')              |       50 |  0.0486905   |   0.0508839   |    -642.23        |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Training', 'Force')               |     1350 |  0.234553    |   0.553448    |      -5.39975     |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Testing', 'Energy')               |       25 |  0.0474143   |   0.0495226   |    -317.286       |
| ('W2N_Strain_MoS2_shift', 'weighted', 'Testing', 'Force')                |      675 |  0.231517    |   0.551009    |      -3.22584     |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Training', 'Energy')         |       24 |  9.6082      |   9.75708     |  -22887.6         |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Training', 'Force')          |      432 |  0.139039    |   0.369295    |     -18.5458      |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Testing', 'Energy')          |       12 |  9.45453     |   9.7002      |  -24482.4         |
| ('W2N_Strain_p63-mmc_shift', 'Unweighted', 'Testing', 'Force')           |      216 |  0.186288    |   0.499692    |     -25.6422      |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Training', 'Energy')           |       24 |  0.096082    |   0.0975708   |  -22887.6         |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Training', 'Force')            |      432 |  0.139039    |   0.369295    |     -18.5458      |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Testing', 'Energy')            |       12 |  0.0945453   |   0.097002    |  -24482.4         |
| ('W2N_Strain_p63-mmc_shift', 'weighted', 'Testing', 'Force')             |      216 |  0.186288    |   0.499692    |     -25.6422      |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Training', 'Energy')           |       26 |  9.40996     |   9.6418      |  -25340.9         |
| ('WN2_Strain_P-6m2_shift', 'Unweighted', 'Training', 'Force')            |      234 |  0.206331    |   0.524414    |     -18.2676      |
